Delivery_person_ID;Weatherconditions;;Rótulos de Linha;Contagem de Delivery_person_ID
INDORES13DEL02 ;conditions Sunny;;conditions Cloudy;1253
BANGRES18DEL02 ;conditions Stormy;;conditions Fog;1261
BANGRES19DEL01 ;conditions Sandstorms;;conditions NaN;469
COIMBRES13DEL02 ;conditions Sunny;;conditions Sandstorms;1248
CHENRES12DEL01 ;conditions Cloudy;;conditions Stormy;1239
HYDRES09DEL03 ;conditions Cloudy;;conditions Sunny;1242
RANCHIRES15DEL01 ;conditions Fog;;conditions Windy;1237
MYSRES15DEL02 ;conditions Cloudy;;(vazio);
HYDRES05DEL02 ;conditions Stormy;;Total Geral;7949
DEHRES17DEL01 ;conditions Fog;;;
KOCRES16DEL01 ;conditions Stormy;;;
PUNERES13DEL03 ;conditions Sandstorms;;;
LUDHRES15DEL02 ;conditions Sandstorms;;;
KNPRES14DEL02 ;conditions Fog;;;
MUMRES15DEL03 ;conditions Sandstorms;;;
MYSRES01DEL01 ;conditions Windy;;;
PUNERES20DEL01 ;conditions Sandstorms;;;
HYDRES14DEL01 ;conditions Cloudy;;;
KOLRES15DEL03 ;conditions Windy;;;
PUNERES19DEL02 ;conditions Sandstorms;;;
RANCHIRES06DEL02 ;conditions Sandstorms;;;
COIMBRES13DEL01 ;conditions Sandstorms;;;
CHENRES19DEL02 ;conditions Windy;;;
MUMRES02DEL01 ;conditions Cloudy;;;
CHENRES01DEL01 ;conditions Sunny;;;
JAPRES16DEL03 ;conditions Stormy;;;
SURRES15DEL03 ;conditions Cloudy;;;
BANGRES09DEL03 ;conditions Windy;;;
PUNERES04DEL01 ;conditions Windy;;;
COIMBRES02DEL03 ;conditions Sandstorms;;;
SURRES16DEL02 ;conditions Stormy;;;
GOARES15DEL02 ;conditions Sandstorms;;;
GOARES07DEL01 ;conditions Cloudy;;;
RANCHIRES02DEL01 ;conditions Stormy;;;
PUNERES19DEL02 ;conditions Cloudy;;;
PUNERES02DEL01 ;conditions Sunny;;;
PUNERES18DEL01 ;conditions Windy;;;
SURRES08DEL01 ;conditions Sandstorms;;;
HYDRES17DEL02 ;conditions Sunny;;;
BANGRES17DEL02 ;conditions Stormy;;;
BANGRES17DEL01 ;conditions Fog;;;
CHENRES11DEL01 ;conditions Cloudy;;;
MUMRES17DEL02 ;conditions Cloudy;;;
SURRES17DEL03 ;conditions Sandstorms;;;
MUMRES07DEL01 ;conditions Stormy;;;
KOLRES16DEL02 ;conditions Fog;;;
MUMRES02DEL03 ;conditions Sunny;;;
BANGRES05DEL03 ;conditions Windy;;;
SURRES09DEL01 ;conditions Sunny;;;
BANGRES19DEL01 ;conditions Stormy;;;
